player;round;unité;att/def;couleur;critique;touche;adrenaline;block;miss;statJoueur;statGeneral;statValue
r;4;phase1;att;b;0;1;0;0;0;3;3;0,5
r;4;phase1;att;b;0;1;0;0;0;;;
r;4;phase1;att;b;0;0;0;0;1;;;
r;4;phase1;att;w;1;0;0;0;0;;;
r;4;phase1;att;w;0;0;0;0;1;;;
r;4;phase1;att;w;0;0;0;0;1;;;
r;4;phase1;att;w;0;0;0;0;1;;;
r;4;phase1;att;w;0;0;0;0;1;;;
r;4;phase1;att;w;0;0;0;0;1;;;
b;4;storm;def;r;0;0;1;0;0;0;1,5;0
b;4;storm;def;r;0;0;0;0;1;;;
b;4;storm;def;r;0;0;0;0;1;;;
b;4;garde;att;r;1;0;0;0;0;5;4;0,555555556
b;4;garde;att;r;0;1;0;0;0;;;
b;4;garde;att;b;0;1;0;0;0;;;
b;4;garde;att;b;0;1;0;0;0;;;
b;4;garde;att;b;0;1;0;0;0;;;
b;4;garde;att;b;0;0;1;0;0;;;
b;4;garde;att;b;0;0;0;0;1;;;
r;4;yoda;def;r;0;0;0;1;0;2;1,5;0,571428571
r;4;yoda;def;r;0;0;0;1;0;;;
r;4;yoda;def;r;0;0;0;0;1;;;
r;4;yoda;att;r;0;1;0;0;0;4;4,375;0,47761194
r;4;yoda;att;r;0;1;0;0;0;;;
r;4;yoda;att;r;0;0;1;0;0;;;
r;4;yoda;att;r;0;0;0;0;1;;;
r;4;yoda;att;r;0;1;0;0;0;;;
b;4;dew;def;r;0;0;0;1;0;2;1,5;0,571428571
b;4;dew;def;r;0;0;0;1;0;;;
b;4;dew;def;r;0;0;0;0;1;;;
r;4;yoda;att;r;0;1;0;0;0;2;3,5;0,363636364
r;4;yoda;att;r;0;1;0;0;0;;;
r;4;yoda;att;r;0;0;0;0;1;;;
r;4;yoda;att;r;0;0;0;0;1;;;
b;4;shore;att;b;1;0;0;0;0;4;3,675;0,521172638
b;4;shore;att;b;0;1;0;0;0;;;
b;4;shore;att;b;0;0;0;0;1;;;
b;4;shore;att;w;0;0;0;0;1;;;
b;4;shore;att;w;0;0;1;0;0;;;
b;4;shore;att;b;1;0;0;0;0;;;
b;4;shore;att;w;0;0;0;0;1;;;
r;4;speeder;def;r;0;0;0;1;0;2;1,5;0,571428571
r;4;speeder;def;r;0;0;0;1;0;;;
r;4;speeder;def;r;0;0;1;0;0;;;
r;4;phase1;att;b;1;0;0;0;0;5;3,5;0,588235294
r;4;phase1;att;b;0;1;0;0;0;;;
r;4;phase1;att;b;0;0;1;0;0;;;
r;4;phase1;att;w;1;0;0;0;0;;;
r;4;phase1;att;w;0;1;0;0;0;;;
r;4;phase1;att;w;0;1;0;0;0;;;
r;4;phase1;att;w;0;0;1;0;0;;;
r;4;phase1;att;w;0;0;0;0;1;;;
r;4;phase1;att;w;0;0;0;0;1;;;
r;4;phase1;att;b;0;0;1;0;0;;;
b;4;shore;def;r;0;0;0;1;0;2;1,5;0,571428571
b;4;shore;def;r;0;0;0;1;0;;;
b;4;shore;def;r;0;0;0;0;1;;;
b;4;storm;att;w;1;0;0;0;0;4;2,25;0,64
b;4;storm;att;w;1;0;0;0;0;;;
b;4;storm;att;w;0;0;1;0;0;;;
b;4;storm;att;w;0;1;0;0;0;;;
b;4;storm;att;w;0;0;0;0;1;;;
b;4;storm;att;w;0;0;0;0;1;;;
r;4;yoda;def;r;0;0;0;1;0;3;2;0,6
r;4;yoda;def;r;0;0;0;1;0;;;
r;4;yoda;def;r;0;0;1;0;0;;;
r;4;phase1;att;r;1;0;0;0;0;3;2,375;0,558139535
r;4;phase1;att;r;0;1;0;0;0;;;
r;4;phase1;att;b;1;0;0;0;0;;;
b;4;storm;def;r;0;0;0;1;0;1;1;0,5
b;4;storm;def;r;0;0;0;0;1;;;
b;4;snipe;att;b;1;0;0;0;0;1;1,5;0,4
